"","Description","Designation","TypeUnité","TypeProduit","Superficie","PrixUnitaire","PrixTotal"
"6980","Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",88.5,3423.73,303000
"3579","Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,892.5,71400
"4681","Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",526,720.76,379120
"5271","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",176,2200,387200
"4438","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",151,1984.5,299659.5
"5207","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",132,2150,283800
"3054","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1210,145200
"1597","Berkane                       ","11281-KISS                              ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,220,22000
"6263","Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200,120000
"5124","Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.95,1400,134330
"2252","Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",210,1312.5,275625
"429","Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1825,219000
"6922","Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",81,4814.81,390000
"4612","Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",73,673.15,49140
"1035","Agence Oujda                  ","30051-CITE DES JARDINS                  ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",79,13100,1034900
"2451","Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840,58800
"4061","Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,2100,315000
"4322","Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",150,2016,302400
"1029","Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",282,500,141000
